hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U1112,U_Horsefly,3,0.91,Thompson_N,2,0.07,L_Horsefly,3,0.01,L_Adams,4,0.00,Horsefly,3,0.00
U1113,Gates_Cr,2,1.00,,,,,,,,,,,,
U1114,U_Horsefly,3,0.97,Chilko,3,0.01,Horsefly,3,0.01,L_Adams,4,0.01,L_Horsefly,3,0.00
U1115,Chilko,3,1.00,L_Adams,4,0.00,,,,,,,,,
U1116,Chilko,3,0.62,Stellako,3,0.19,Kuzkwa_Cr,3,0.09,Middle,3,0.08,U_Horsefly,3,0.02
U1181,Chilko,3,0.96,U_Horsefly,3,0.03,Chilko_south,2,0.01,,,,,,
U1182,Chilko,3,0.97,Chilko_south,2,0.01,Birkenhead,3,0.01,Pitt,2,0.00,L_Adams,4,0.00
U605,Chilko,3,0.52,Chilko_south,2,0.20,L_Adams,4,0.14,Birkenhead,3,0.07,U_Horsefly,3,0.05
U606,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U607,Mitchell,3,0.99,Chilko,3,0.01,U_Horsefly,3,0.01,Blue_Lead_Ck,3,0.00,Wasko_Cr,3,0.00
U608,Chilko,3,0.99,Chilko_south,2,0.00,Mitchell,3,0.00,Stellako,3,0.00,Pinchi_Cr,3,0.00
U609,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
U610,U_Horsefly,3,0.97,L_Horsefly,3,0.01,L_Adams,4,0.01,Horsefly,3,0.01,McKinley,3,0.00
U698,Chilko,3,0.84,Middle,3,0.05,U_Horsefly,3,0.04,L_Adams,4,0.02,Sandpoint,1,0.01
U699,Chilko,3,0.87,Porter_Cr,1,0.07,Sandpoint,1,0.02,Kynock,1,0.01,Gluskie,1,0.01
U700,Chilko,3,1.00,,,,,,,,,,,,
U743,Weaver,4,0.99,Middle,3,0.01,,,,,,,,,
U744,Mitchell,3,1.00,,,,,,,,,,,,
U745,U_Horsefly,3,0.85,Middle,3,0.10,L_Adams,4,0.01,Hudson_Bay,1,0.01,Horsefly,3,0.01
U746,Thompson_N,2,1.00,Raft,2,0.00,L_Adams,4,0.00,,,,,,
U747,Weaver,4,0.72,Birkenhead,3,0.27,Chilko,3,0.01,Middle,3,0.00,,,
U748,Chilko,3,1.00,Chilko-North,3,0.00,U_Horsefly,3,0.00,,,,,,
U973,Chilko,3,0.98,Birkenhead,3,0.01,Weaver,4,0.00,,,,,,
U974,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
U975,Middle,3,0.60,Stellako,3,0.16,Chilko,3,0.09,Kuzkwa_Cr,3,0.07,Porter_Cr,1,0.02
U976,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U977,Mitchell,3,1.00,Chilko,3,0.00,,,,,,,,,
U978,Chilko,3,0.97,Chilko_south,2,0.02,L_Adams,4,0.01,U_Horsefly,3,0.00,Chilko-North,3,0.00
U979,Middle,3,0.59,Chilko,3,0.22,Stellako,3,0.18,Kuzkwa_Cr,3,0.01,Nadina,2,0.01
U980,Mitchell,3,1.00,Wasko_Cr,3,0.00,,,,,,,,,
U1117,Middle,3,0.46,Porter_Cr,1,0.12,Gluskie,1,0.07,Chilko,3,0.07,Sandpoint,1,0.07
U1118,Mitchell,3,0.99,Chilko,3,0.01,,,,,,,,,
U1183,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
U1184,Mitchell,3,0.99,Roaring,3,0.00,L_Adams,4,0.00,Blue_Lead_Ck,3,0.00,Thompson_N,2,0.00
U1185,Chilko,3,1.00,Middle,3,0.00,,,,,,,,,
U1347,Middle,3,0.49,U_Horsefly,3,0.37,Stellako,3,0.06,Kuzkwa_Cr,3,0.03,Gluskie,1,0.01
U1348,Pitt,2,0.96,Thompson_N,2,0.02,Weaver,4,0.01,Birkenhead,3,0.00,,,
U1349,Chilko,3,1.00,,,,,,,,,,,,
U1350,Mitchell,3,1.00,,,,,,,,,,,,
U1371,Weaver,4,1.00,L_Adams,4,0.00,Birkenhead,3,0.00,Chilko,3,0.00,,,
U1381,Gates_Cr,2,1.00,,,,,,,,,,,,
U1382,Middle,3,0.98,Porter_Cr,1,0.01,Gluskie,1,0.01,Sandpoint,1,0.00,Pinchi_Cr,3,0.00
U475,Middle,3,1.00,Kuzkwa_Cr,3,0.00,Sandpoint,1,0.00,Bivouac,1,0.00,,,
U476,U_Horsefly,3,0.89,L_Adams,4,0.07,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0.01
U477,U_Horsefly,3,0.98,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0.00,McKinley,3,0.00
U478,Chilko,3,0.97,Middle,3,0.01,L_Adams,4,0.01,Gluskie,1,0.01,Chilko-North,3,0.01
U479,Middle,3,0.99,Chilko,3,0.01,Tachie,3,0.00,,,,,,
U480,Chilko,3,1.00,U_Horsefly,3,0.00,Chilko_south,2,0.00,,,,,,
U601,Middle,3,0.47,Chilko,3,0.18,Porter_Cr,1,0.08,Kynock,1,0.07,Gluskie,1,0.05
U602,Gates_Cr,2,1.00,,,,,,,,,,,,
U603,L_Adams,4,0.51,Chilko,3,0.49,Chilko_south,2,0.00,,,,,,
U691,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
U692,Chilko,3,1.00,L_Adams,4,0.00,,,,,,,,,
U693,Chilko,3,1.00,Scotch,2,0.00,Middle,3,0.00,Chilko-North,3,0.00,Pitt,2,0.00
U694,Chilko,3,0.58,Middle,3,0.19,U_Horsefly,3,0.11,L_Adams,4,0.05,Chilko_south,2,0.02
U695,Chilko,3,0.90,Mitchell,3,0.05,U_Horsefly,3,0.05,L_Adams,4,0.01,Middle,3,0.00
U696,Chilko,3,0.97,L_Adams,4,0.02,Middle,3,0.01,Pitt,2,0.00,Thompson_N,2,0.00
U697,Chilko,3,0.99,Middle,3,0.01,Chilko_south,2,0.00,Birkenhead,3,0.00,,,
U749,Mitchell,3,1.00,,,,,,,,,,,,
U750,Chilko,3,0.89,Weaver,4,0.10,Mitchell,3,0.00,L_Adams,4,0.00,U_Horsefly,3,0.00
U1105,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U1106,Pitt,2,0.73,Weaver,4,0.27,,,,,,,,,
U1107,Middle,3,0.92,Sandpoint,1,0.02,Porter_Cr,1,0.02,Gluskie,1,0.01,Hudson_Bay,1,0.01
U1136,Weaver,4,1.00,,,,,,,,,,,,
U1137,U_Horsefly,3,0.99,Horsefly,3,0.01,L_Horsefly,3,0.00,,,,,,
U1138,Chilko,3,0.99,L_Adams,4,0.00,Thompson_N,2,0.00,Raft,2,0.00,,,
U1139,Chilko,3,0.96,U_Horsefly,3,0.02,L_Adams,4,0.01,Horsefly,3,0.01,Middle,3,0.00
U1141,Gates_Cr,2,1.00,,,,,,,,,,,,
U1142,Middle,3,0.87,Chilko,3,0.05,Weaver,4,0.03,Kuzkwa_Cr,3,0.02,Stellako,3,0.01
U1143,Scotch,2,1.00,L_Adams,4,0.00,Chilko,3,0.00,,,,,,
U1317,Mitchell,3,1.00,,,,,,,,,,,,
U918,Birkenhead,3,1.00,,,,,,,,,,,,
